timestamp,datetime_utc,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,hour,day_of_week,month,hour_sin,hour_cos,month_sin,month_cos
1606435200,2020-11-27T00:00:00+00:00,170.4,83.23,103.26,1094.82,0.0,18.34,43.99,6.32,3.58,0,4,11,0.0,1.0,-0.5000000000000004,0.8660254037844384
1606438800,2020-11-27T01:00:00+00:00,173.2,87.24,107.03,1148.22,0.01,21.08,40.05,7.03,3.83,1,4,11,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384
1606442400,2020-11-27T02:00:00+00:00,183.3,101.58,125.56,1455.31,0.14,34.27,26.82,9.42,6.59,2,4,11,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384
1606446000,2020-11-27T03:00:00+00:00,191.9,113.79,142.9,1789.09,4.81,45.93,16.27,12.4,9.12,3,4,11,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
1606449600,2020-11-27T04:00:00+00:00,191.3,113.05,144.72,1842.5,11.74,39.76,30.4,14.9,11.15,4,4,11,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
1606453200,2020-11-27T05:00:00+00:00,190.8,112.32,146.78,1789.09,11.06,34.96,51.5,15.97,14.06,5,4,11,0.9659258262890684,0.2588190451025207,-0.5000000000000004,0.8660254037844384
1606456800,2020-11-27T06:00:00+00:00,188.4,108.82,143.28,1602.17,7.1,29.82,84.4,16.93,14.19,6,4,11,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
1606460400,2020-11-27T07:00:00+00:00,162.6,72.05,91.62,1054.76,3.05,18.51,125.89,22.89,8.99,7,4,11,0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384
1606464000,2020-11-27T08:00:00+00:00,153.8,59.46,74.36,867.84,2.07,14.74,143.05,24.32,7.85,8,4,11,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
1606467600,2020-11-27T09:00:00+00:00,148.0,54.58,67.97,794.41,1.57,13.54,151.63,24.32,8.23,9,4,11,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
1606471200,2020-11-27T10:00:00+00:00,155.2,61.53,79.0,1134.87,2.91,28.1,131.61,20.98,12.54,10,4,11,0.4999999999999999,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
1606474800,2020-11-27T11:00:00+00:00,165.3,75.94,101.56,1695.63,4.14,55.52,90.12,20.03,17.73,11,4,11,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
1606478400,2020-11-27T12:00:00+00:00,174.0,88.36,121.89,2323.15,2.1,94.59,35.41,19.55,22.04,12,4,11,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
1606482000,2020-11-27T13:00:00+00:00,182.2,100.04,140.09,2750.4,7.49,108.3,3.26,17.17,25.33,13,4,11,-0.2588190451025208,-0.9659258262890684,-0.5000000000000004,0.8660254037844384
1606485600,2020-11-27T14:00:00+00:00,192.6,114.78,161.35,2883.91,13.19,98.71,0.54,15.14,29.39,14,4,11,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
1606489200,2020-11-27T15:00:00+00:00,206.2,130.78,184.33,2910.61,10.62,90.48,0.91,13.71,31.92,15,4,11,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
1606492800,2020-11-27T16:00:00+00:00,218.6,143.21,200.49,2857.21,5.42,85.0,2.91,12.28,31.67,16,4,11,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
1606496400,2020-11-27T17:00:00+00:00,224.9,149.6,208.74,2750.4,1.76,75.4,8.85,10.97,28.37,17,4,11,-0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384
1606500000,2020-11-27T18:00:00+00:00,218.7,143.36,201.11,2536.77,0.43,63.75,17.7,9.18,20.77,18,4,11,-1.0,-1.8369701987210287e-16,-0.5000000000000004,0.8660254037844384
1606503600,2020-11-27T19:00:00+00:00,203.9,128.46,178.29,2243.04,0.06,50.72,28.25,6.86,13.43,19,4,11,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
1606507200,2020-11-27T20:00:00+00:00,194.2,117.18,157.24,1976.01,0.0,37.7,38.62,5.31,10.39,20,4,11,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
1606510800,2020-11-27T21:00:00+00:00,191.0,112.59,144.73,1815.8,0.0,28.79,43.99,4.53,9.37,21,4,11,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
1606514400,2020-11-27T22:00:00+00:00,191.1,112.68,139.7,1762.39,0.0,24.68,42.92,4.05,8.61,22,4,11,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
1606518000,2020-11-27T23:00:00+00:00,194.4,117.43,142.59,1789.09,0.0,23.99,37.55,3.82,7.41,23,4,11,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384
1606521600,2020-11-28T00:00:00+00:00,199.9,125.2,150.36,1895.9,0.03,26.05,29.68,3.93,6.52,0,5,11,0.0,1.0,-0.5000000000000004,0.8660254037844384
1606525200,2020-11-28T01:00:00+00:00,211.0,135.62,162.64,2082.82,0.18,32.22,20.56,4.53,7.09,1,5,11,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384
1606528800,2020-11-28T02:00:00+00:00,240.7,165.57,199.58,2696.99,6.76,48.67,3.71,7.09,11.91,2,5,11,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384
1606532400,2020-11-28T03:00:00+00:00,274.9,200.11,240.64,3578.19,35.76,52.09,2.08,9.89,16.47,3,5,11,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
1606536000,2020-11-28T04:00:00+00:00,293.9,219.24,262.1,4165.65,55.43,58.26,9.39,12.16,20.77,4,5,11,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
1606539600,2020-11-28T05:00:00+00:00,316.0,240.63,289.08,4486.08,52.3,74.71,23.96,14.07,25.08,5,5,11,0.9659258262890684,0.2588190451025207,-0.5000000000000004,0.8660254037844384
1606543200,2020-11-28T06:00:00+00:00,325.7,250.38,301.15,4112.24,27.72,83.63,65.8,15.02,23.81,6,5,11,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
1606546800,2020-11-28T07:00:00+00:00,212.1,136.73,159.33,2136.23,4.64,37.01,167.37,27.42,11.27,7,5,11,0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384
1606550400,2020-11-28T08:00:00+00:00,202.0,126.5,147.25,1895.9,2.91,31.53,200.27,32.9,10.26,8,5,11,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
1606554000,2020-11-28T09:00:00+00:00,194.7,117.78,137.82,1789.09,2.1,31.53,214.58,37.19,10.26,9,5,11,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
1606557600,2020-11-28T10:00:00+00:00,228.5,153.25,184.01,2830.51,5.48,82.25,141.62,36.24,19.76,10,5,11,0.4999999999999999,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
1606561200,2020-11-28T11:00:00+00:00,296.1,221.42,270.33,4699.71,16.09,163.14,43.99,35.29,32.93,11,5,11,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
